Year,Date,Name,Sex,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_of_Fire,Type_of_Death,Impunity_for_Murder,Taken_Captive,Threatened,Tortured,Link
2017,12-Mar-17,Mohamed Abazied (George Samara),Male,Syria,Nabd Syria Satellite Station/ Syria Media Organization (SMO),Syrian,"Television, Internet",Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2017/mohamed-abazied-george-samara.php
2017,25-Feb-17,Shifa Zikri Ibrahim (Shifa Gardi),Female,Iraq,Rudaw TV,Iraqi,Television,Broadcast,War,No,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2017/shifa-zikri-ibrahim-shifa-gardi.php
2017,12-Feb-17,Taimoor Khan,Male,Pakistan,Samaa TV,Pakistani,Television,Camera Operator,"Crime, Politics",No,Local,Political Group,Dangerous Assignment,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2017/taimoor-khan.php
2017,3-Feb-17,Abdul Hakim Shimul,Male,Bangladesh,Samakal ,Bangladeshi,Print,Print Reporter,Politics,No,Local,Government Officials,Dangerous Assignment,Yes,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2017/abdul-hakim-shimul.php
2016,15-Dec-16,Mohammad Nasir Mudasir ,Male,Afghanistan,Melli Paigham Radio,Afghan,Radio,Editor,unknown,No,Local,Political Group,Murder,Yes,No,Yes,No,https://www.cpj.org/killed/2016/mohammad-nasir-mudasir.php
2016,13-Dec-16,Soe Moe Tun ,Male,Myanmar,Daily Eleven,Myanmar,Print,Print Reporter,"Corruption, Crime",No,Local,Unknown Fire,Murder,Yes,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/soe-moe-tun.php
2016,18-Nov-16,Awab al-Zubiry,Male,Yemen,unknown,Yemeni,Internet,"Camera Operator, Photographer","Politics, War",Yes,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/awab-al-zubiry.php
2016,12-Nov-16,Mohsen Khazaei,Male,Syria,Islamic Republic of Iran Broadcasting,Iranian,Television,Broadcast,War,No,Foreign,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/mohsen-khazaei.php
2016,6-Nov-16,Mahad Ali Mohamed ,Male,Somalia,Codka Mudug Radio,Somali,Radio,Broadcast,War,No,Local,Paramilitary Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/mahad-ali-mohamed.php
2016,4-Nov-16,Naimatullah Zaheer,Male,Afghanistan,Ariana News,Afghan,Television,Broadcast,"Culture, Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/naimatullah-zaheer.php
2016,31-Oct-16,Abdul Salam Kanaan,Male,Syria,Al-Jisr TV,Syrian,Television,Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/abdul-salam-kanaan.php
2016,22-Oct-16,Ali Risan,Male,Iraq,Al-Sumaria TV,Iraqi,"Television, Internet",Camera Operator,War,No,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/ali-risan.php
2016,21-Oct-16,Ahmet Hacero_lu,Male,Iraq,T™rkmeneli TV,Iraqi,Television,Producer,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/ahmet-haceroglu.php
2016,2-Oct-16,Jeroen Oerlemans ,Male,Libya,Freelance,Netherlands,"Print, Internet",Photographer,"Politics, War",Yes,Foreign,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/jeroen-oerlemans.php
2016,27-Sep-16,Abdiaziz Ali,Male,Somalia,Radio Shabelle,Somali,Radio,Broadcast,"Corruption, Human Rights, War",No,Local,Political Group,Murder,Yes,No,Unknown,Unknown,https://www.cpj.org/killed/2016/abdiaziz-ali.php
2016,27-Aug-16,Taha Shawkat Al-Halou,Male,Syria,Freelance,Syrian,Internet,"Photographer, Internet Reporter",War,Yes,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/taha-shawkat-al-halou.php
2016,14-Aug-16,Mustafa Said,Male,Iraq,Kurdistan TV,Iraqi,Television,Camera Operator,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
",https://www.cpj.org/killed/2016/mustafa-said.php
2016,8-Aug-16,Shehzad Ahmed,Male,Pakistan,Aaj News,Pakistani,Television,Camera Operator,"Business, Corruption, Crime, Culture, Human Rights, Politics, Sports",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",https://www.cpj.org/killed/2016/shehzad-khan.php
2016,8-Aug-16,Mehmood Khan,Male,Pakistan,DawnNews,Pakistani,"Television, Internet",Camera Operator,"Business, Corruption, Crime, Culture, Human Rights, Politics, Sports",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",https://www.cpj.org/killed/2016/mehmood-khan.php
2016,5-Aug-16,Mubarak al-Abadi,Male,Yemen,Nabaa Media Foundation,Yemeni,Television,"Broadcast, Camera Operator, Photographer, Producer","Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/mubarak-al-abadi.php
2016,2-Aug-16,Ahmad Hallak,Male,Syria,Al-Buraq Media Institution,Syrian,Internet,"Photographer, Internet Reporter",War,No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/ahmad-hallak.php
2016,1-Aug-16,Mohammed Sayyed Hassan,Male,Syria,"All4Syria, Al-Nabaa Media Center",Syrian,Internet,"Photographer, Editor, Internet Reporter",War,No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/mohammed-sayyed-hassan.php
2016,24-Jul-16,Jo o Miranda do Carmo,Male,Brazil,SAD Sem Censura,Brazilian,Internet,"Editor, Internet Reporter","Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2016/joao-miranda-do-carmo.php
2016,21-Jul-16,Abdelqadir Fassouk,Male,Libya,Arraed Satellite TV,Libyan,"Print, Television","Camera Operator, Photographer",War,No,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/abdelqadir-fassouk.php
2016,20-Jul-16,Pavel Sheremet,Male,Ukraine,"Ukrainska Pravda, Radio Vesti",Russian,"Radio, Internet","Broadcast, Internet Reporter","Corruption, Crime, Politics",No,Foreign,Unknown Fire,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2016/pavel-sheremet.php
notsure,October 2015 - June 2016,Sami Jawdat Rabah,Male,Syria,Syrian Observatory for Human Rights,Syrian,Internet,"Photographer, Internet Reporter",War,No,Local,Political Group,Murder,Yes,Yes,Yes,Unknown,https://www.cpj.org/killed/2016/sami-jawdat-rabah.php
notsure,October 2015 - June 2016,Samer Mohammed Aboud,Male,Syria,"Free Deir al-Zour Radio, Development Interaction Network",Syrian,"Radio, Internet","Broadcast, Internet Reporter",War,No,Local,Political Group,Murder,Yes,Yes,Yes,Unknown,https://www.cpj.org/killed/2016/samer-mohammed-aboud.php
notsure,October 2015 - June 2016,Mustafa Abdul Hassa,Male,Syria,Shaam News Network,Syrian,Internet,Internet Reporter,War,No,Local,Political Group,Murder,Yes,Yes,Yes,Unknown,https://www.cpj.org/killed/2016/mustafa-abdul-hassa.php
notsure,October 2015 - June 2016,Mohammed Eissa,Male,Syria,Nateq Network,Syrian,Internet,"Photographer, Internet Reporter",War,No,Local,Political Group,Murder,Yes,Yes,Yes,Unknown,https://www.cpj.org/killed/2016/mohammed-eissa.php
2016,14-Jul-16,Abdullah Mohammad Ghannam,Male,Syria,Shahba Press Agency,Syrian,Internet,"Photographer, Internet Reporter","Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/abdullah-mohammad-ghannam.php
2016,13-Jul-16,Ali Mahmud,Male,Iraq,Al-Ghadeer TV,Iraqi,Television,Camera Operator,War,No,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/ali-mahmud.php
2016,11-Jul-16,Ibrahim Omar,Male,Syria,Al Jazeera,Syrian,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/ibrahim-omar.php
2016,25-Jun-16,Khaled Eissa ,Male,Syria,Freelance,Syrian,"Television, Internet","Camera Operator, Photographer","Human Rights, War",Yes,Local,Unknown Fire,Murder,Yes,No,No,"No
",https://www.cpj.org/killed/2016/khaled-eissa.php
2016,24-Jun-16,Khaled al-Zintani ,Male,Libya,Freelance ,Libyan ,"Television, Internet",Photographer,War,Yes,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/khaled-al-zintani.php
2016,19-Jun-16,Elidio Ramos Zörate,Male,Mexico,El Sur,Mexican,Print,Print Reporter,Crime,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2016/elidio-ramos-zarate.php
2016,"January 30 to February 24, 2016",Rohat Akta_,Male,Turkey,Azadiya Welat,Turkish,Print,"Editor, Print Reporter","Politics, War",No,Local,Military Officials,Unknown,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/rohat-aktas.php
2016,5-Jun-16,David Gilkey,Male,Afghanistan,National Public Radio,American,"Radio, Internet",Photographer,"Politics, War",No,Foreign,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/david-gilkey.php
2016,5-Jun-16,Zabihullah Tamanna,Male,Afghanistan,National Public Radio,Afghan,"Print, Radio, Internet",Producer,"Culture, Human Rights, Politics, War",Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
",https://www.cpj.org/killed/2016/zabihullah-tamanna.php
2016,5-Jun-16,Osama Jumaa,Male,Syria,Images Live,Syrian,"Television, Internet","Camera Operator, Photographer",War,No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2016/osama-jumaa.php
